Tax Year,Credit Type,Place of Residence,County,Notes,"Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total","Number of Claims, One Qualifying Person","Credit Amount Claimed, One Qualifying Person ($000)","Average Credit, One Qualifying Person","Number of Claims, Two or More Qualifying Persons","Credit Amount Claimed, Two or More Qualifying Persons ($000)","Average Credit, Two or More Qualifying Persons","Number of Claims, Two Qualifying Persons","Credit Amount Claimed, Two Qualifying Persons ($000)","Average Credit, Two Qualifying Persons","Number of Claims, Three or More Qualifying Persons","Credit Amount Claimed, Three or More Qualifying Persons ($000)","Average Credit, Three or More Qualifying Persons","Number of Claims, Single Filing Status","Credit Amount Claimed, Single Filing Status ($000)","Average Credit, Single Filing Status","Number of Claims, MFJ & QW Filing Status *","Credit Amount Claimed, MFJ & QW Filing Status ($000) *","Average Credit, MFJ & QW Filing Status *","Number of Claims, Head of Household Filing Status","Credit Amount Claimed, Head of Household Filing Status ($000)","Average Credit, Head of Household Filing Status",Place of Residence Sort Order
2018,NYC CDCC,New York City - Bronx,Bronx,,4560,1948.02,427.2,,,,,,,,,,,,,,,,,,,,,,1
2018,NYC CDCC,New York City - Kings,Kings,,5133,2241.818,436.75,,,,,,,,,,,,,,,,,,,,,,2
2018,NYC CDCC,New York City - Manhattan,Manhattan,,1704,702.196,412.09,,,,,,,,,,,,,,,,,,,,,,3
2018,NYC CDCC,New York City - Queens,Queens,,2626,1208.079,460.05,,,,,,,,,,,,,,,,,,,,,,4
2018,NYC CDCC,New York City - Richmond,Richmond,,426,191.118,448.63,,,,,,,,,,,,,,,,,,,,,,5
2018,NYC CDCC,All Other +,Not Applicable,,475,145.399,306.1,,,,,,,,,,,,,,,,,,,,,,66
2018,NYC CDCC,Grand Total,Grand Total,,14924,6436.63,431.29,,,,,,,,,,,,,,,,,,,,,,70
2018,NYS CDCC,New York City - Bronx,Bronx,,38241,22893.53,598.66,29831,16050.443,538.05,,,,7692,6249.496,812.47,718,593.591,826.73,2973,2091.351,703.45,6798,2751.228,404.71,28470,18050.951,634.03,1
2018,NYS CDCC,New York City - Kings,Kings,,63267,31615.501,499.72,44222,20103.967,454.61,,,,16510,9669.187,585.66,2535,1842.347,726.76,1692,1078.969,637.69,28343,10944.536,386.15,33232,19591.996,589.55,2
2018,NYS CDCC,New York City - Manhattan,Manhattan,,32678,11931.228,365.12,20843,7748.373,371.75,,,,10811,3777.638,349.43,1024,405.217,395.72,1298,852.995,657.16,17755,3560.441,200.53,13625,7517.792,551.76,3
2018,NYS CDCC,New York City - Queens,Queens,,45466,22500.845,494.89,32006,14396.238,449.8,,,,12134,7286.457,600.5,1326,818.15,617.01,1028,694.152,675.25,21383,7977.868,373.09,23055,13828.825,599.82,4
2018,NYS CDCC,New York City - Richmond,Richmond,,9593,3879.488,404.41,6295,2278.6,361.97,,,,2958,1424.207,481.48,340,176.681,519.65,143,83.74,585.59,5447,1573.225,288.82,4003,2222.523,555.21,5
2018,NYS CDCC,"Total, New York City","Total, New York City",,189245,92820.592,490.48,133197,60577.621,454.8,,,,50105,28406.985,566.95,5943,3835.986,645.46,7134,4801.207,673,79726,26807.298,336.24,102385,61212.087,597.86,6
2018,NYS CDCC,Albany,Albany,,7465,2736.441,366.57,4489,1556.124,346.65,,,,2613,1024.638,392.13,363,155.679,428.87,144,92.599,643.05,4618,1162.108,251.65,2703,1481.734,548.18,7
2018,NYS CDCC,Allegany,Allegany,,422,179.677,425.77,236,81.548,345.54,,,,155,78.635,507.32,31,19.494,628.84,11,7.672,697.45,290,104.437,360.13,121,67.568,558.41,8
2018,NYS CDCC,Broome,Broome,,2482,979.948,394.82,1571,555.792,353.78,,,,778,364.461,468.46,133,59.695,448.83,66,42.372,642,1493,438.767,293.88,923,498.809,540.42,9
2018,NYS CDCC,Cattaraugus,Cattaraugus,,888,341.877,385,537,171.023,318.48,,,,290,140.542,484.63,61,30.312,496.92,33,19.83,600.91,523,166.308,317.99,332,155.739,469.09,10
2018,NYS CDCC,Cayuga,Cayuga,,928,367.691,396.22,576,188.169,326.68,,,,313,159.83,510.64,39,19.692,504.92,24,10.684,445.17,553,170.445,308.22,351,186.562,531.52,11
2018,NYS CDCC,Chautauqua,Chautauqua,,1401,533.106,380.52,905,302.638,334.41,,,,413,192.091,465.11,83,38.377,462.37,39,20.074,514.72,812,245.192,301.96,550,267.84,486.98,12
2018,NYS CDCC,Chemung,Chemung,,1236,473.879,383.4,746,246.129,329.93,,,,417,191.499,459.23,73,36.251,496.59,36,18.046,501.28,730,218.466,299.27,470,237.367,505.04,13
2018,NYS CDCC,Chenango,Chenango,,649,242.276,373.31,414,133.371,322.15,,,,194,86.109,443.86,41,22.796,556,25,14.121,564.84,391,115.214,294.66,233,112.941,484.73,14
2018,NYS CDCC,Clinton,Clinton,,1422,599.302,421.45,842,313.055,371.8,,,,508,251.727,495.53,72,34.52,479.44,28,16.646,594.5,895,298.553,333.58,499,284.103,569.34,15
2018,NYS CDCC,Columbia,Columbia,,774,297.664,384.58,516,170.473,330.37,,,,235,118.597,504.67,23,8.594,373.65,19,10.551,555.32,484,141.845,293.07,271,145.268,536.04,16
2018,NYS CDCC,Cortland,Cortland,,813,345.156,424.55,512,188.286,367.75,,,,249,127.327,511.35,52,29.543,568.13,22,13.341,606.41,505,175.955,348.43,286,155.86,544.97,17
2018,NYS CDCC,Delaware,Delaware,d/,435,172.145,395.74,283,92.038,325.22,,,,119,62.575,525.84,33,17.532,531.27,,,778.88,282,94.618,335.52,,,491.7,18
2018,NYS CDCC,Dutchess,Dutchess,,6511,2436.083,374.15,3944,1320.331,334.77,,,,2269,977.803,430.94,298,137.949,462.92,149,97.107,651.72,4081,1089.873,267.06,2281,1249.103,547.61,19
2018,NYS CDCC,Erie,Erie,,17133,6426.72,375.11,10212,3434.596,336.33,,,,6027,2565.335,425.64,894,426.789,477.39,371,209.018,563.39,10891,3024.497,277.71,5871,3193.205,543.89,20
2018,NYS CDCC,Essex,Essex,,492,211.083,429.03,302,113.888,377.11,,,,169,87.89,520.06,21,9.305,443.1,23,14.706,639.39,303,99.819,329.44,166,96.558,581.67,21
2018,NYS CDCC,Franklin,Franklin,,700,309.628,442.33,429,155.789,363.14,,,,227,126.729,558.28,44,27.11,616.14,22,14.967,680.32,375,134.128,357.67,303,160.533,529.81,22
2018,NYS CDCC,Fulton,Fulton,,635,273.185,430.21,415,161.123,388.25,,,,192,98.471,512.87,28,13.591,485.39,15,12.465,831,388,132.503,341.5,232,128.217,552.66,23
2018,NYS CDCC,Genesee,Genesee,,850,339.524,399.44,522,176.95,338.98,,,,277,134.214,484.53,51,28.36,556.08,24,18.094,753.92,548,175.174,319.66,278,146.256,526.1,24
2018,NYS CDCC,Greene,Greene,,500,204.976,409.95,321,111.707,348,,,,159,81.748,514.14,20,11.521,576.05,14,6.433,459.5,312,93.772,300.55,174,104.771,602.13,25
2018,NYS CDCC,Hamilton,Hamilton,d/,47,20.247,430.79,31,10.735,346.29,,,,,,536.2,,,691.67,,,172,31,9.244,298.19,,,722.07,26
2018,NYS CDCC,Herkimer,Herkimer,,745,331.687,445.22,448,165.285,368.94,,,,240,135.179,563.25,57,31.223,547.77,24,15.784,657.67,442,156.031,353.01,279,159.872,573.02,27
2018,NYS CDCC,Jefferson,Jefferson,,1348,565.153,419.25,846,302.858,357.99,,,,432,217.574,503.64,70,44.721,638.87,34,21.838,642.29,807,263.642,326.69,507,279.673,551.62,28
2018,NYS CDCC,Lewis,Lewis,d/,243,96.876,398.67,126,36.697,291.25,,,,87,43.852,504.05,30,16.327,544.23,,,651.83,181,63.287,349.65,,,529.96,29
2018,NYS CDCC,Livingston,Livingston,,837,325.787,389.23,501,169.719,338.76,,,,293,135.549,462.62,43,20.519,477.19,26,12.665,487.12,555,170.791,307.73,256,142.331,555.98,30
2018,NYS CDCC,Madison,Madison,,907,352.308,388.43,531,181.788,342.35,,,,322,143.911,446.93,54,26.609,492.76,27,16.999,629.59,628,194.535,309.77,252,140.774,558.63,31
2018,NYS CDCC,Monroe,Monroe,,15345,6141.838,400.25,9007,3398.32,377.3,,,,5492,2335.049,425.17,846,408.469,482.82,443,281.174,634.7,9166,2485.69,271.19,5736,3374.974,588.38,32
2018,NYS CDCC,Montgomery,Montgomery,,653,285.818,437.7,434,170.9,393.78,,,,186,95.614,514.05,33,19.304,584.97,23,14.669,637.78,364,111.586,306.55,266,159.563,599.86,33
2018,NYS CDCC,Nassau,Nassau,,39226,13035.853,332.33,22326,7189.041,322,,,,14735,5096.269,345.86,2165,750.543,346.67,863,536.739,621.95,26310,6090.689,231.5,12053,6408.425,531.69,34
2018,NYS CDCC,Niagara,Niagara,,3373,1286.683,381.47,2184,744.316,340.8,,,,1031,466.038,452.03,158,76.329,483.09,89,53.392,599.91,2087,596.742,285.93,1197,636.549,531.79,35
2018,NYS CDCC,Oneida,Oneida,,3158,1417.506,448.86,1954,753.556,385.65,,,,1042,573.388,550.28,162,90.562,559.02,78,53.746,689.05,1828,624.888,341.84,1252,738.872,590.15,36
2018,NYS CDCC,Onondaga,Onondaga,,9204,3605.006,391.68,5599,1992.091,355.79,,,,3099,1360.735,439.09,506,252.18,498.38,271,166.129,613.02,5546,1538.522,277.41,3387,1900.355,561.07,37
2018,NYS CDCC,Ontario,Ontario,,2031,771.161,379.7,1118,376.9,337.12,,,,791,338.198,427.56,122,56.063,459.53,54,31.961,591.87,1355,390.076,287.88,622,349.124,561.29,38
2018,NYS CDCC,Orange,Orange,,8932,3563.025,398.91,5676,1987.795,350.21,,,,2780,1284.3,461.98,476,290.93,611.2,247,153.092,619.81,5294,1641.232,310.02,3391,1768.701,521.59,39
2018,NYS CDCC,Orleans,Orleans,,385,174.004,451.96,257,102.333,398.18,,,,106,61.389,579.14,22,10.282,467.36,21,12.252,583.43,196,69.546,354.83,168,92.206,548.85,40
2018,NYS CDCC,Oswego,Oswego,,1332,560.291,420.64,854,317.889,372.24,,,,414,204.95,495.05,64,37.452,585.19,48,30.779,641.23,783,242.367,309.54,501,287.145,573.14,41
2018,NYS CDCC,Otsego,Otsego,,796,311.84,391.76,487,163.846,336.44,,,,259,126.572,488.69,50,21.422,428.44,31,20.248,653.16,528,166.47,315.28,237,125.122,527.94,42
2018,NYS CDCC,Putnam,Putnam,,2590,807.699,311.85,1497,428.12,285.99,,,,970,336.052,346.45,123,43.527,353.88,41,19.532,476.39,1871,463.611,247.79,678,324.556,478.7,43
2018,NYS CDCC,Rensselaer,Rensselaer,,3566,1315.541,368.91,2218,740.249,333.75,,,,1188,504.284,424.48,160,71.008,443.8,83,49.027,590.69,2205,583.871,264.79,1278,682.643,534.15,44
2018,NYS CDCC,Rockland,Rockland,,8974,3952.841,440.48,4623,1665.175,360.19,,,,3414,1569.923,459.85,937,717.743,766,184,131.205,713.07,6439,2494.723,387.44,2351,1326.913,564.4,45
2018,NYS CDCC,St. Lawrence,St. Lawrence,,1164,474.75,407.86,680,238.343,350.5,,,,416,201.46,484.28,68,34.947,513.93,44,24.747,562.43,728,247.393,339.83,392,202.61,516.86,46
2018,NYS CDCC,Saratoga,Saratoga,,5576,1777.115,318.71,3100,898.198,289.74,,,,2210,769.379,348.14,266,109.538,411.8,106,65.932,622,4150,1038.891,250.34,1320,672.292,509.31,47
2018,NYS CDCC,Schenectady,Schenectady,,3584,1440.333,401.88,2184,792.96,363.08,,,,1228,561.349,457.12,172,86.024,500.14,72,43.598,605.53,2132,603.874,283.24,1380,792.861,574.54,48
2018,NYS CDCC,Schoharie,Schoharie,d/,381,147.212,386.38,235,80.296,341.69,,,,124,58.547,472.15,22,8.369,380.41,,,563.13,248,75.532,304.56,,,537.4,49
2018,NYS CDCC,Schuyler,Schuyler,,214,85.724,400.58,138,45.411,329.07,,,,63,31.246,495.97,13,9.067,697.46,10,5.636,563.6,131,40.94,312.52,73,39.148,536.27,50
2018,NYS CDCC,Seneca,Seneca,,410,173.891,424.12,272,94.375,346.97,,,,126,71.586,568.14,12,7.93,660.83,11,6.666,606,229,80.494,351.5,170,86.731,510.18,51
2018,NYS CDCC,Steuben,Steuben,,1421,564.202,397.05,815,281.131,344.95,,,,521,239.643,459.97,85,43.428,510.92,56,36.468,651.21,939,310.316,330.47,426,217.418,510.37,52
2018,NYS CDCC,Suffolk,Suffolk,,33713,12445.971,369.17,20699,7120.372,344,,,,11492,4679.655,407.21,1522,645.944,424.4,671,418.953,624.37,21360,5345.684,250.27,11682,6681.334,571.93,53
2018,NYS CDCC,Sullivan,Sullivan,,1224,516.958,422.35,762,280.186,367.7,,,,399,194.281,486.92,63,42.491,674.46,28,14.636,522.71,662,217.202,328.1,534,285.12,533.93,54
2018,NYS CDCC,Tioga,Tioga,,646,238.508,369.21,408,130.829,320.66,,,,201,86.535,430.52,37,21.144,571.46,25,15.181,607.24,424,120.834,284.99,197,102.493,520.27,55
2018,NYS CDCC,Tompkins,Tompkins,,1904,574.362,301.66,1063,292.115,274.8,,,,732,243.48,332.62,109,38.767,355.66,33,20.882,632.79,1392,348.331,250.24,479,205.149,428.29,56
2018,NYS CDCC,Ulster,Ulster,,3280,1257.046,383.25,2145,743.066,346.42,,,,1023,460.063,449.72,112,53.917,481.4,83,48.193,580.64,2001,566.911,283.31,1196,641.942,536.74,57
2018,NYS CDCC,Warren,Warren,,975,402.262,412.58,599,220.94,368.85,,,,330,157.429,477.06,46,23.893,519.41,29,22.045,760.17,630,193.172,306.62,316,187.045,591.91,58
2018,NYS CDCC,Washington,Washington,,728,315.665,433.61,480,178.681,372.25,,,,212,113.105,533.51,36,23.879,663.31,35,22.62,646.29,456,158.654,347.93,237,134.391,567.05,59
2018,NYS CDCC,Wayne,Wayne,,1300,549.922,423.02,754,272.891,361.92,,,,474,232.393,490.28,72,44.638,619.97,37,19.358,523.19,819,270.595,330.4,444,259.969,585.52,60
2018,NYS CDCC,Westchester,Westchester,,28256,9588.892,339.36,16026,5539.512,345.66,,,,10892,3574.065,328.14,1338,475.315,355.24,533,332.989,624.74,17454,3671.514,210.35,10269,5584.389,543.81,61
2018,NYS CDCC,Wyoming,Wyoming,,498,193.207,387.97,290,92.319,318.34,,,,174,83.009,477.06,34,17.879,525.85,20,9.965,498.25,345,111.298,322.6,133,71.944,540.93,62
2018,NYS CDCC,Yates,Yates,d/,267,108.826,407.59,173,61.077,353.05,,,,,,524.25,,,422.2,12,7.666,638.83,151,47.328,313.43,104,53.832,517.62,63
2018,NYS CDCC,NYS Unclassified +,All,d/,406,97.436,239.99,248,57.951,233.67,,,,137,36.319,265.1,21,3.166,150.76,,,489.75,306,62.108,202.97,,,347.59,65
2018,NYS CDCC,All Other +,Not Applicable,,73200,10309.425,140.84,36229,5027.979,138.78,,,,32453,4580.715,141.15,4518,700.731,155.1,563,173.158,307.56,61576,6539.886,106.21,11061,3596.381,325.14,66
2018,NYS CDCC,Full-Year Resident,All,,420844,179307.139,426.07,270396,107861.79,398.9,,,,132192,61833.203,467.75,18256,9612.146,526.52,12542,8164.776,650.99,226926,66362.841,292.44,181376,104779.522,577.69,67
2018,NYS CDCC,Part-Year Resident,Not Applicable,,8939,2091.817,234.01,5562,1214.457,218.35,,,,2994,767.909,256.48,383,109.451,285.77,173,69.238,400.22,5773,926.374,160.47,2993,1096.205,366.26,68
2018,NYS CDCC,Full-Year Nonresident,Not Applicable,,68037,9074.868,133.38,33028,4320.649,130.82,,,,30700,4125.957,134.4,4309,628.262,145.8,466,132.621,284.59,58250,6008.257,103.15,9321,2933.99,314.77,69
2018,NYS CDCC,Grand Total,Grand Total,,497820,190473.824,382.62,308986,113396.896,367,,,,165886,66727.069,402.25,22948,10349.859,451.01,13181,8366.635,634.75,290949,73297.472,251.93,193690,108809.717,561.77,70
2017,NYC CDCC,New York City - Bronx,Bronx,,4834,1967.581,407.03,,,,,,,,,,,,,,,,,,,,,,1
2017,NYC CDCC,New York City - Kings,Kings,,5930,2531.904,426.97,,,,,,,,,,,,,,,,,,,,,,2
2017,NYC CDCC,New York City - Manhattan,Manhattan,,2039,805.891,395.24,,,,,,,,,,,,,,,,,,,,,,3
2017,NYC CDCC,New York City - Queens,Queens,,3137,1398.713,445.88,,,,,,,,,,,,,,,,,,,,,,4
2017,NYC CDCC,New York City - Richmond,Richmond,,481,200.628,417.11,,,,,,,,,,,,,,,,,,,,,,5
2017,NYC CDCC,All Other +,Not Applicable,,552,163.353,295.93,,,,,,,,,,,,,,,,,,,,,,66
2017,NYC CDCC,Grand Total,Grand Total,,16973,7068.07,416.43,,,,,,,,,,,,,,,,,,,,,,70
2017,NYS CDCC,New York City - Bronx,Bronx,,39894,20980.967,525.92,31191,15197.627,487.24,8703,5783.34,664.52,,,,,,,2850,1773.262,622.2,7035,1994.306,283.48,30009,17213.399,573.61,1
2017,NYS CDCC,New York City - Kings,Kings,,65914,28460.601,431.78,46708,19046.069,407.77,19206,9414.532,490.19,,,,,,,1680,995.913,592.81,28230,8425.12,298.45,36004,19039.568,528.82,2
2017,NYS CDCC,New York City - Manhattan,Manhattan,,33566,10949.45,326.21,21681,7368.519,339.86,11885,3580.931,301.3,,,,,,,1356,791.515,583.71,17604,2945.77,167.34,14606,7212.165,493.78,3
2017,NYS CDCC,New York City - Queens,Queens,,47652,19138.277,401.63,33866,13038.91,385.01,13786,6099.367,442.43,,,,,,,1013,615.245,607.35,21896,5524.986,252.33,24743,12998.046,525.32,4
2017,NYS CDCC,New York City - Richmond,Richmond,,9776,2987.509,305.6,6502,1892.928,291.13,3274,1094.581,334.33,,,,,,,172,91.685,533.05,5502,1007.519,183.12,4102,1888.305,460.34,5
2017,NYS CDCC,"Total, New York City","Total, New York City",,196802,82516.804,419.29,139948,56544.053,404.04,56854,25972.751,456.83,,,,,,,7071,4267.62,603.54,80267,19897.701,247.89,109464,58351.483,533.07,6
2017,NYS CDCC,Albany,Albany,,7656,2046.497,267.31,4738,1303.744,275.17,2918,742.753,254.54,,,,,,,131,75.729,578.08,4741,599.508,126.45,2784,1371.26,492.55,7
2017,NYS CDCC,Allegany,Allegany,,451,129.582,287.32,258,71.438,276.89,193,58.144,301.26,,,,,,,12,6.571,547.58,309,56.214,181.92,130,66.797,513.82,8
2017,NYS CDCC,Broome,Broome,,2589,738.357,285.19,1671,458.265,274.25,918,280.092,305.11,,,,,,,65,30.347,466.88,1575,240.358,152.61,949,467.652,492.78,9
2017,NYS CDCC,Cattaraugus,Cattaraugus,,937,258.735,276.13,586,150.392,256.64,351,108.343,308.67,,,,,,,38,21.841,574.76,564,91.051,161.44,335,145.843,435.35,10
2017,NYS CDCC,Cayuga,Cayuga,,1039,284.582,273.9,666,165.723,248.83,373,118.859,318.66,,,,,,,28,15.779,563.54,627,90.917,145,384,177.886,463.24,11
2017,NYS CDCC,Chautauqua,Chautauqua,,1472,391.853,266.2,936,222.8,238.03,536,169.053,315.4,,,,,,,33,13.918,421.76,882,136.23,154.46,557,241.705,433.94,12
2017,NYS CDCC,Chemung,Chemung,,1326,355.203,267.88,812,202.632,249.55,514,152.571,296.83,,,,,,,25,12.675,507,792,123.798,156.31,509,218.73,429.72,13
2017,NYS CDCC,Chenango,Chenango,,661,188.436,285.08,410,115.211,281,251,73.225,291.73,,,,,,,36,16.033,445.36,388,60.064,154.8,237,112.339,474,14
2017,NYS CDCC,Clinton,Clinton,,1485,415.755,279.97,891,255.11,286.32,594,160.645,270.45,,,,,,,50,31.193,623.86,963,144.035,149.57,472,240.527,509.59,15
2017,NYS CDCC,Columbia,Columbia,,786,205.139,260.99,504,122.242,242.54,282,82.897,293.96,,,,,,,17,6.948,408.71,515,76.961,149.44,254,121.23,477.28,16
2017,NYS CDCC,Cortland,Cortland,,890,263.59,296.17,537,154.501,287.71,353,109.089,309.03,,,,,,,29,19.534,673.59,557,89.999,161.58,304,154.057,506.77,17
2017,NYS CDCC,Delaware,Delaware,d/,438,127.404,290.88,277,75.684,273.23,161,51.72,321.24,,,,,,,,,667.67,278,50.605,182.03,,,468.81,18
2017,NYS CDCC,Dutchess,Dutchess,,6605,1711.384,259.1,4082,1043.859,255.72,2523,667.525,264.58,,,,,,,140,75.597,539.98,4163,593.569,142.58,2302,1042.218,452.74,19
2017,NYS CDCC,Erie,Erie,,17532,4738.43,270.27,10610,2839.495,267.62,6922,1898.935,274.33,,,,,,,399,220.028,551.45,11060,1489.484,134.67,6073,3028.918,498.75,20
2017,NYS CDCC,Essex,Essex,,502,145.523,289.89,302,86.567,286.65,200,58.956,294.78,,,,,,,13,10.04,772.31,326,53.726,164.8,163,81.757,501.58,21
2017,NYS CDCC,Franklin,Franklin,,750,232.675,310.23,470,139.851,297.56,280,92.824,331.51,,,,,,,22,10.1,459.09,418,74.285,177.72,310,148.29,478.35,22
2017,NYS CDCC,Fulton,Fulton,,666,225.946,339.26,435,137.787,316.75,231,88.159,381.64,,,,,,,16,11.111,694.44,385,63.345,164.53,265,151.49,571.66,23
2017,NYS CDCC,Genesee,Genesee,,867,240.197,277.04,513,130.989,255.34,354,109.208,308.5,,,,,,,28,16.568,591.71,556,75.696,136.14,283,147.933,522.73,24
2017,NYS CDCC,Greene,Greene,,520,141.07,271.29,350,87.546,250.13,170,53.524,314.85,,,,,,,16,8.528,533,336,44.497,132.43,168,88.045,524.08,25
2017,NYS CDCC,Hamilton,Hamilton,,43,11.653,271,30,7.125,237.5,13,4.528,348.31,,,,,,,0,0,0,29,3.836,132.28,14,7.817,558.36,26
2017,NYS CDCC,Herkimer,Herkimer,,748,236.277,315.88,449,133.599,297.55,299,102.678,343.4,,,,,,,30,17.231,574.37,444,76.804,172.98,274,142.242,519.13,27
2017,NYS CDCC,Jefferson,Jefferson,,1472,439.079,298.29,924,251.065,271.72,548,188.014,343.09,,,,,,,35,21.248,607.09,924,164.718,178.27,513,253.113,493.4,28
2017,NYS CDCC,Lewis,Lewis,d/,250,60.274,241.1,139,32.344,232.69,111,27.93,251.62,,,,,,,,,671.75,190,33.881,178.32,,,404.21,29
2017,NYS CDCC,Livingston,Livingston,,838,224.614,268.04,528,139.918,265,310,84.696,273.21,,,,,,,26,15.473,595.12,534,71.965,134.77,278,137.176,493.44,30
2017,NYS CDCC,Madison,Madison,,949,245.523,258.72,564,152.014,269.53,385,93.509,242.88,,,,,,,23,15.332,666.61,663,92.052,138.84,263,138.139,525.24,31
2017,NYS CDCC,Monroe,Monroe,,15788,4629.183,293.21,9435,2855.798,302.68,6353,1773.385,279.14,,,,,,,412,244.484,593.41,9516,1279.186,134.42,5860,3105.513,529.95,32
2017,NYS CDCC,Montgomery,Montgomery,,704,220.698,313.49,472,147.046,311.54,232,73.652,317.47,,,,,,,19,12.43,654.21,390,55.182,141.49,295,153.086,518.94,33
2017,NYS CDCC,Nassau,Nassau,,39237,10014.111,255.22,22780,5850.365,256.82,16457,4163.746,253.01,,,,,,,832,462.939,556.42,25988,4042.757,155.56,12417,5508.415,443.62,34
2017,NYS CDCC,Niagara,Niagara,,3411,936.009,274.41,2221,587.185,264.38,1190,348.824,293.13,,,,,,,90,47.249,524.99,2110,293.788,139.24,1211,594.972,491.31,35
2017,NYS CDCC,Oneida,Oneida,,3291,1061.312,322.49,2119,661.619,312.23,1172,399.693,341.03,,,,,,,90,53.741,597.12,1918,322.541,168.17,1283,685.03,533.93,36
2017,NYS CDCC,Onondaga,Onondaga,,9310,2630.932,282.59,5725,1615.578,282.2,3585,1015.354,283.22,,,,,,,248,142.579,574.92,5629,745.588,132.45,3433,1742.765,507.65,37
2017,NYS CDCC,Ontario,Ontario,,2019,509.881,252.54,1122,278.182,247.93,897,231.699,258.3,,,,,,,47,27.045,575.43,1348,196.554,145.81,624,286.282,458.79,38
2017,NYS CDCC,Orange,Orange,,8715,2521.959,289.38,5484,1499.15,273.37,3231,1022.809,316.56,,,,,,,222,121.655,548,5243,1013.503,193.31,3250,1386.801,426.71,39
2017,NYS CDCC,Orleans,Orleans,,409,137.768,336.84,282,89.917,318.85,127,47.851,376.78,,,,,,,23,11.757,511.17,217,35.347,162.89,169,90.664,536.47,40
2017,NYS CDCC,Oswego,Oswego,,1328,401.413,302.27,875,261.032,298.32,453,140.381,309.89,,,,,,,48,31.176,649.5,800,121.527,151.91,480,248.71,518.15,41
2017,NYS CDCC,Otsego,Otsego,,899,241.521,268.66,565,145.691,257.86,334,95.83,286.92,,,,,,,16,11.183,698.94,595,98.13,164.92,288,132.208,459.06,42
2017,NYS CDCC,Putnam,Putnam,,2565,544.336,212.22,1454,306.986,211.13,1111,237.35,213.64,,,,,,,41,22.389,546.07,1859,280.095,150.67,665,241.852,363.69,43
2017,NYS CDCC,Rensselaer,Rensselaer,,3738,999.135,267.29,2368,623.196,263.17,1370,375.939,274.41,,,,,,,76,36.135,475.46,2248,287.141,127.73,1414,675.859,477.98,44
2017,NYS CDCC,Rockland,Rockland,,8812,2931.576,332.68,4719,1357.348,287.63,4093,1574.228,384.61,,,,,,,189,125.178,662.32,6220,1693.623,272.29,2403,1112.775,463.08,45
2017,NYS CDCC,St. Lawrence,St. Lawrence,,1186,331.751,279.72,704,200.291,284.5,482,131.46,272.74,,,,,,,38,20.329,534.97,742,121.481,163.72,406,189.941,467.83,46
2017,NYS CDCC,Saratoga,Saratoga,,5676,1160.307,204.42,3186,678.656,213.01,2490,481.651,193.43,,,,,,,98,56.264,574.12,4242,518.545,122.24,1336,585.498,438.25,47
2017,NYS CDCC,Schenectady,Schenectady,,3569,977.862,273.99,2171,608.574,280.32,1398,369.288,264.15,,,,,,,70,36.937,527.67,2152,282.609,131.32,1347,658.316,488.73,48
2017,NYS CDCC,Schoharie,Schoharie,,387,105.819,273.43,244,64.685,265.1,143,41.134,287.65,,,,,,,14,7.607,543.36,248,42.371,170.85,125,55.841,446.73,49
2017,NYS CDCC,Schuyler,Schuyler,d/,220,53.895,244.98,146,36.648,251.01,74,17.247,233.07,,,,,,,,,609.75,134,17.925,133.77,,,398.62,50
2017,NYS CDCC,Seneca,Seneca,,404,113.688,281.41,249,68.51,275.14,155,45.178,291.47,,,,,,,15,10.817,721.13,252,37.034,146.96,137,65.837,480.56,51
2017,NYS CDCC,Steuben,Steuben,,1471,408.889,277.97,849,235.25,277.09,622,173.639,279.16,,,,,,,58,33.612,579.52,958,149.996,156.57,455,225.281,495.12,52
2017,NYS CDCC,Suffolk,Suffolk,,34436,9533.809,276.86,21449,5838.108,272.19,12987,3695.701,284.57,,,,,,,622,368.228,592.01,21768,3312.698,152.18,12046,5852.883,485.88,53
2017,NYS CDCC,Sullivan,Sullivan,,1320,422.364,319.97,864,245.659,284.33,456,176.705,387.51,,,,,,,34,16.636,489.29,702,125.808,179.21,584,279.92,479.32,54
2017,NYS CDCC,Tioga,Tioga,,656,170.403,259.76,406,100.081,246.5,250,70.322,281.29,,,,,,,18,9.437,524.28,446,67.949,152.35,192,93.017,484.46,55
2017,NYS CDCC,Tompkins,Tompkins,,1929,386.665,200.45,1081,216.607,200.38,848,170.058,200.54,,,,,,,37,22.972,620.86,1410,185.141,131.31,482,178.552,370.44,56
2017,NYS CDCC,Ulster,Ulster,,3352,956.661,285.4,2173,590.564,271.77,1179,366.097,310.51,,,,,,,87,45.3,520.69,2059,312.621,151.83,1206,598.74,496.47,57
2017,NYS CDCC,Warren,Warren,,1047,284.105,271.35,650,166.798,256.61,397,117.307,295.48,,,,,,,38,24.014,631.95,668,96.172,143.97,341,163.919,480.7,58
2017,NYS CDCC,Washington,Washington,,744,218.509,293.69,484,139.865,288.98,260,78.644,302.48,,,,,,,34,14.75,433.82,467,77.004,164.89,243,126.755,521.63,59
2017,NYS CDCC,Wayne,Wayne,,1407,424.559,301.75,812,236.939,291.8,595,187.62,315.33,,,,,,,42,23.274,554.14,895,135.711,151.63,470,265.574,565.05,60
