Tax Year,Credit Type,Place of Residence,County,Notes,"Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total","Number of Claims, One Qualifying Person","Credit Amount Claimed, One Qualifying Person ($000)","Average Credit, One Qualifying Person","Number of Claims, Two or More Qualifying Persons","Credit Amount Claimed, Two or More Qualifying Persons ($000)","Average Credit, Two or More Qualifying Persons","Number of Claims, Two Qualifying Persons","Credit Amount Claimed, Two Qualifying Persons ($000)","Average Credit, Two Qualifying Persons","Number of Claims, Three or More Qualifying Persons","Credit Amount Claimed, Three or More Qualifying Persons ($000)","Average Credit, Three or More Qualifying Persons","Number of Claims, Single Filing Status","Credit Amount Claimed, Single Filing Status ($000)","Average Credit, Single Filing Status","Number of Claims, MFJ & QW Filing Status *","Credit Amount Claimed, MFJ & QW Filing Status ($000) *","Average Credit, MFJ & QW Filing Status *","Number of Claims, Head of Household Filing Status","Credit Amount Claimed, Head of Household Filing Status ($000)","Average Credit, Head of Household Filing Status",Place of Residence Sort Order
2007,NYS CDCC,Ontario,Ontario,,2041,550.399,269.671,1269,333.589,262.875,772,216.81,280.842,,,,,,,47,22.275,473.936,1466,246.475,168.128,528,281.649,533.426,38
2007,NYS CDCC,Orange,Orange,,10937,5320.029,486.425,7164,2773.906,387.201,3773,2546.123,674.827,,,,,,,226,168.308,744.726,5748,1283.828,223.352,4963,3867.893,779.346,39
2007,NYS CDCC,Orleans,Orleans,,514,183.661,357.317,349,107.068,306.785,165,76.593,464.2,,,,,,,22,16.118,732.636,303,61.887,204.248,189,105.656,559.026,40
2007,NYS CDCC,Oswego,Oswego,,1643,530.809,323.073,1110,318.974,287.364,533,211.835,397.439,,,,,,,48,25.799,537.479,1078,204.648,189.84,517,300.362,580.971,41
2007,NYS CDCC,Otsego,Otsego,,987,289.979,293.798,643,167.068,259.826,344,122.911,357.299,,,,,,,25,12.33,493.2,698,144.053,206.38,264,133.596,506.045,42
2007,NYS CDCC,Putnam,Putnam,,2741,640.349,233.619,1753,372.203,212.323,988,268.146,271.403,,,,,,,27,16.345,605.37,2124,309.837,145.874,590,314.167,532.486,43
2007,NYS CDCC,Rensselaer,Rensselaer,,4149,1468.711,353.992,2811,886.193,315.259,1338,582.518,435.365,,,,,,,128,72.135,563.555,2442,375.935,153.946,1579,1020.641,646.384,44
2007,NYS CDCC,Rockland,Rockland,,8924,3734.427,418.47,5488,2026.668,369.291,3436,1707.759,497.019,,,,,,,145,108.595,748.931,5475,1240.919,226.652,3304,2384.913,721.826,45
2007,NYS CDCC,St. Lawrence,St. Lawrence,,1227,379.127,308.987,754,211.045,279.901,473,168.082,355.353,,,,,,,31,18.343,591.71,824,162.019,196.625,372,198.765,534.315,46
2007,NYS CDCC,Saratoga,Saratoga,,4791,1137.693,237.465,3068,706.281,230.209,1723,431.412,250.384,,,,,,,76,45.671,600.934,3614,499.073,138.094,1101,592.949,538.555,47
